mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K03207.01,CANDIDATE,0.954388314,2.27,7056.0,2.785,1.836,Kepler
Kepler,K03208.01,CANDIDATE,2.131660527,0.56,5849.0,0.997,0.967,Kepler
Kepler,K03209.01,CANDIDATE,11.91256675,2.61,6337.0,2.335,1.556,Kepler
Kepler,K03209.02,CANDIDATE,6.77067637,1.9,6337.0,2.335,1.556,Kepler
Kepler,K03214.02,CANDIDATE,25.0901574,1.35,6033.0,1.788,1.127,Kepler
Kepler,K03224.01,CANDIDATE,3.43861067,1.01,5383.0,1.401,0.926,Kepler
Kepler,K03225.01,CANDIDATE,4.8754765,0.8,5513.0,1.286,0.911,Kepler
Kepler,K03226.02,CANDIDATE,6.93650854,1.51,6615.0,1.574,1.343,Kepler
Kepler,K03236.01,CANDIDATE,7.13044117,1.18,6312.0,2.074,1.443,Kepler
Kepler,K03248.01,CANDIDATE,6.91261536,0.64,5761.0,1.044,0.96,Kepler
Kepler,K03258.01,CANDIDATE,40.3511707,1.88,5665.0,0.82,0.916,Kepler
Kepler,K03259.01,CANDIDATE,72.9332762,2.45,5316.0,0.902,0.875,Kepler
Kepler,K03263.01,CANDIDATE,76.87935893,7.71,3638.0,0.436,0.467,Kepler
Kepler,K03264.01,CANDIDATE,13.0151826,1.36,4794.0,0.643,0.632,Kepler
Kepler,K03271.02,CANDIDATE,7.41834569,1.12,5549.0,0.732,0.776,Kepler
Kepler,K03283.02,CANDIDATE,20.5718107,1.34,4922.0,0.708,0.795,Kepler
Kepler,K03283.03,CANDIDATE,87.707513,1.72,4944.0,0.721,0.786,Kepler
Kepler,K03301.01,CANDIDATE,20.7106368,1.12,5631.0,0.901,0.89,Kepler
Kepler,K03307.01,CANDIDATE,10.5071781,1.41,5290.0,0.865,0.788,Kepler
Kepler,K03309.01,CANDIDATE,71.05457555,5.91,5290.0,0.865,0.788,Kepler
Kepler,K03310.01,CANDIDATE,20.5512722,1.64,5401.0,0.918,0.894,Kepler
Kepler,K03312.01,CANDIDATE,18.0939004,1.91,5904.0,0.867,0.958,Kepler
Kepler,K03313.01,CANDIDATE,34.9524256,21.74,4921.0,0.779,0.864,Kepler
Kepler,K03318.02,CANDIDATE,25.6970688,3.83,6020.0,1.057,1.03,Kepler
Kepler,K03320.01,CANDIDATE,85.0624157,21.26,5223.0,0.875,0.923,Kepler
Kepler,K03323.01,CANDIDATE,14.3196417,2.06,5562.0,1.373,0.973,Kepler
Kepler,K03329.01,CANDIDATE,12.6878176,2.16,6258.0,1.046,1.102,Kepler
Kepler,K03337.01,CANDIDATE,11.16622885,1.56,5552.0,0.836,0.931,Kepler
Kepler,K03339.01,CANDIDATE,23.1334494,2.55,5712.0,0.932,0.763,Kepler
Kepler,K03340.01,CANDIDATE,8.9539656,0.84,6168.0,0.947,0.925,Kepler
Kepler,K03340.02,CANDIDATE,13.7281373,1.06,6168.0,0.947,0.925,Kepler
Kepler,K03341.01,CANDIDATE,27.0965146,2.13,5775.0,1.352,1.038,Kepler
Kepler,K03341.02,CANDIDATE,11.5474983,1.48,5775.0,1.352,1.038,Kepler
Kepler,K03343.01,CANDIDATE,83.2664103,2.89,5538.0,1.18,0.937,Kepler
Kepler,K03344.03,CANDIDATE,208.54335,2.84,5533.0,1.166,0.934,Kepler
Kepler,K03348.02,CANDIDATE,17.7189786,1.44,5566.0,1.099,0.938,Kepler
Kepler,K03354.01,CANDIDATE,11.5706005,1.33,5718.0,0.9,0.89,Kepler
Kepler,K03355.01,CANDIDATE,16.2953228,1.6,6187.0,1.013,1.007,Kepler
Kepler,K03358.01,CANDIDATE,10.10404351,4.05,5530.0,0.831,0.876,Kepler
Kepler,K03367.01,CANDIDATE,25.3736543,1.88,6195.0,0.966,0.998,Kepler
Kepler,K03368.01,CANDIDATE,10.08535311,1.45,5947.0,0.945,1.0,Kepler
Kepler,K03370.01,CANDIDATE,24.352541,1.52,4891.0,0.805,0.776,Kepler
Kepler,K03371.01,CANDIDATE,58.1263775,1.32,5413.0,0.82,0.931,Kepler
Kepler,K03374.02,CANDIDATE,34.1086562,1.95,6144.0,1.668,1.296,Kepler
Kepler,K03377.01,CANDIDATE,10.0100312,0.99,4338.0,0.508,0.507,Kepler
Kepler,K03384.01,CANDIDATE,10.54841329,3.89,6047.0,1.092,1.059,Kepler
Kepler,K03389.01,CANDIDATE,29.7681831,3.98,5640.0,2.916,1.479,Kepler
Kepler,K03391.01,CANDIDATE,36.7662364,1.28,4342.0,0.54,0.531,Kepler
Kepler,K03394.01,CANDIDATE,15.5764061,1.79,6214.0,1.076,1.169,Kepler
Kepler,K03395.01,CANDIDATE,10.00506974,1.11,5912.0,0.924,0.884,Kepler
Kepler,K03395.02,CANDIDATE,5.0395851,0.78,5912.0,0.924,0.884,Kepler
Kepler,K03396.01,CANDIDATE,36.2580749,1.82,5818.0,0.848,0.937,Kepler
Kepler,K03397.01,CANDIDATE,35.8754482,2.35,6559.0,1.218,1.235,Kepler
Kepler,K03398.03,CANDIDATE,4.32710579,3.58,5745.0,3.955,1.801,Kepler
Kepler,K03401.01,CANDIDATE,17.9559673,1.96,5641.0,1.195,0.944,Kepler
Kepler,K03401.02,CANDIDATE,326.6708,2.2,5896.0,1.072,0.924,Kepler
Kepler,K03408.01,CANDIDATE,65.427645,1.65,6014.0,0.926,0.998,Kepler
Kepler,K03411.01,CANDIDATE,26.83771808,12.68,6194.0,1.069,1.161,Kepler
Kepler,K03416.01,CANDIDATE,11.8237228,1.25,5559.0,0.803,0.899,Kepler
Kepler,K03420.01,CANDIDATE,5.77451117,1.87,5821.0,1.492,1.088,Kepler
Kepler,K03420.02,CANDIDATE,12.5014905,2.24,5821.0,1.492,1.088,Kepler
Kepler,K03421.01,CANDIDATE,40.6511021,1.7,6297.0,1.369,1.247,Kepler
Kepler,K03422.01,CANDIDATE,40.1454757,13.01,7852.0,7.162,2.697,Kepler
Kepler,K03425.03,CANDIDATE,7.64370363,1.85,6120.0,2.0,1.251,Kepler
Kepler,K03426.01,CANDIDATE,58.7701045,1.57,6158.0,1.013,0.934,Kepler
Kepler,K03429.01,CANDIDATE,15.8283833,1.8,5596.0,1.145,0.95,Kepler
Kepler,K03429.04,CANDIDATE,44.433726,1.85,5596.0,1.145,0.95,Kepler
Kepler,K03430.01,CANDIDATE,13.9248005,0.9,5271.0,0.648,0.718,Kepler
Kepler,K03431.01,CANDIDATE,19.6001405,2.08,6003.0,0.932,1.019,Kepler
Kepler,K03433.01,CANDIDATE,34.08429351,36.05,5252.0,0.922,0.83,Kepler
Kepler,K03434.01,CANDIDATE,10.2856373,1.24,5841.0,1.06,1.053,Kepler
Kepler,K03437.02,CANDIDATE,34.7496038,3.51,5849.0,1.601,1.114,Kepler
Kepler,K03440.02,CANDIDATE,58.940569,2.48,5819.0,0.99,1.049,Kepler
Kepler,K03444.01,CANDIDATE,12.67143692,0.76,3705.0,0.529,0.536,Kepler
Kepler,K03444.02,CANDIDATE,60.32668824,4.98,3705.0,0.529,0.536,Kepler
Kepler,K03444.03,CANDIDATE,2.63595435,0.5,3705.0,0.529,0.536,Kepler
